id,code,kind,parent_id:id,sequence,name,plain_label,name_en,featured,active,description,hint_terms
spec_kitchen_equipment_operation,kitchen-equipment-operation,family,spec_equipment_maintenance,500,کار با دستگاه‌های آشپزخانه,,Kitchen equipment operation,0,1,,
spec_bakery_bread,bakery-bread,family,spec_bakery_pastry,10,نانوایی,نان,Bread baking,0,1,,
spec_bakery_pastry_cakes,bakery-pastry-cakes,family,spec_bakery_pastry,20,شیرینی‌پزی، کیک و شکلات,شیرینی و کیک,"Pastry, cakes and chocolate",0,1,,
spec_bakery_traditional_sweets,bakery-traditional-sweets,family,spec_bakery_pastry,30,قنادیِ سنتی,شیرینیِ سنتی,Traditional Iranian sweets,0,1,,
spec_bakery_ice_cream_desserts,bakery-ice-cream-desserts,family,spec_bakery_pastry,40,بستنی و دسر,بستنی و دسر,Ice cream and desserts,0,1,,
spec_baking_bread,baking-bread,family,spec_baking_pastry,500,نان‌پزی,,Bread baking,0,1,,
spec_baking_pastry_cake,baking-pastry-cake,family,spec_baking_pastry,500,شیرینی‌پزی و کیک,,Pastry and cake,0,1,,
spec_baking_chocolate_sugar,baking-chocolate-sugar,family,spec_baking_pastry,500,شکلات و کار با شکر,,Chocolate and sugar work,0,1,,
spec_baking_traditional_sweets,baking-traditional-sweets,family,spec_baking_pastry,500,شیرینی‌های سنتیِ ایرانی,,Traditional Iranian sweets,0,1,,
spec_baking_frozen_desserts,baking-frozen-desserts,family,spec_baking_pastry,500,بستنی و دسر,,Ice cream and desserts,0,1,,
spec_bar_roastery,bar-roastery,family,spec_bar,10,برشته‌کاری و بازرگانیِ قهوه,رُستریِ قهوه,Coffee roasting and trade,0,1,,
spec_bar_tea,bar-tea,family,spec_bar,20,چای، چای‌خانه و سفره‌خانه,چای‌خانه,"Tea, teahouse and sofrekhaneh",0,1,,
spec_bar_juice,bar-juice,family,spec_bar,30,آبمیوه و نوشیدنی‌های سنتی,آبمیوه و شربت,Juice bar and traditional drinks,0,1,,
spec_bar_alcohol,bar-alcohol,family,spec_bar,90,نوشیدنی‌های الکلی,بارِ الکلی,Alcoholic beverage service (not offered in Iran),0,1,,
spec_coffee_making,coffee-making,family,spec_coffee_tea_beverage,500,قهوه‌سازی,,Coffee preparation,0,1,,
spec_coffee_roasting_sourcing,coffee-roasting-sourcing,family,spec_coffee_tea_beverage,500,برشته‌کاری و تأمینِ قهوه,,Coffee roasting and sourcing,0,1,,
spec_tea_teahouse,tea-teahouse,family,spec_coffee_tea_beverage,500,چای و چای‌خانه,,Tea and teahouse,0,1,,
spec_juice_traditional_drinks,juice-traditional-drinks,family,spec_coffee_tea_beverage,500,آبمیوه و نوشیدنی‌های سنتی,,Juice and traditional drinks,0,1,,
spec_bar_operations,bar-operations,family,spec_coffee_tea_beverage,500,کار و گردشِ بار,,Bar operations,0,1,,
spec_alcoholic_beverages,alcoholic-beverages,family,spec_coffee_tea_beverage,500,نوشیدنی‌های الکلی,,Alcoholic beverages (not offered in Iran),0,1,,
spec_beverage_equipment,beverage-equipment,family,spec_equipment_maintenance,500,نگهداریِ دستگاه‌های نوشیدنی,,Beverage equipment maintenance,0,1,,
spec_floor_counter,floor-counter,family,spec_floor,10,پیشخوان و سرویسِ سریع,پیشخوان,Counter and quick service,0,1,,
spec_institutional_service,institutional-service,family,spec_floor,20,پذیرایی در بیمارستان، مدرسه و سالمندان,بیمارستان و مدرسه,Institutional meal service,0,1,,
spec_travel_service,travel-service,family,spec_floor,30,پذیرایی در هواپیما، قطار و کشتی,پذیرایی در سفر,Travel food service,0,1,,
spec_moist_heat_cooking,moist-heat-cooking,competency,spec_culinary_techniques,100,پخت با آب و بخار,آب‌پز و بخارپز,"Moist-heat cooking (boiling, simmering, poaching, steaming)",0,1,پختنِ غذا در آبِ جوش، آبِ کم‌جوش یا بخار، و دانستنِ اینکه هر ماده چه دما و چه زمانی لازم دارد.,آب‌پز بخارپز پوشه جوشاندن
spec_dry_heat_roasting,dry-heat-roasting,competency,spec_culinary_techniques,100,بریان‌کردن و پختِ خشک در فر,پخت در فر,Oven roasting,0,1,پختنِ گوشت، مرغ و سبزی با هوای داغِ فر تا رویه‌اش طلایی و مغزش آبدار بماند.,فر رست بریان کباب تنوری
spec_sauteing_pan_frying,sauteing-pan-frying,competency,spec_culinary_techniques,100,سوته و سرخ‌کردن در تابه,تابه‌ای,Sautéing and pan-frying,0,1,پختِ سریعِ مواد در تابهٔ داغ با کمی روغن و تکان‌دادنِ درست تا یکنواخت بپزند و نسوزند.,سوته تفت تابه ای سرخ کردن سبک
spec_deep_frying,deep-frying,competency,spec_culinary_techniques,100,سرخ‌کردن در روغنِ زیاد,سرخ‌کردنی,Deep-frying,0,1,غوطه‌ورکردنِ غذا در روغنِ داغ با دمای درست تا ترد شود و روغن کم بگیرد.,سوخاری دیپ فرای سیب زمینی سرخ کرده سرخ کردنی
spec_braising_stewing,braising-stewing,competency,spec_culinary_techniques,100,خوراک‌پزی و پختِ آرام,پختِ آرام,Braising and stewing,0,1,پختنِ طولانیِ گوشت و سبزی در کمی مایع و حرارتِ ملایم تا بافتِ سفت نرم شود.,خوراک بریز پخت آرام جاافتادن
spec_grilling_broiling,grilling-broiling,competency,spec_culinary_techniques,100,گریل‌کردن,گریل,Grilling and broiling,0,1,پختنِ گوشت، مرغ، ماهی و سبزی روی گریل یا زیرِ سالامندر با درجهٔ پختی که مهمان خواسته است.,گریل سالامندر استیک کبابی فرنگی
spec_stock_making,stock-making,competency,spec_culinary_techniques,100,تهیهٔ آب‌مایه (فوند),آب‌مایه,Stock making,0,1,جوشاندنِ آرامِ استخوان، گوشت یا سبزی برای آب‌مایهٔ زلال و خوش‌طعم، و سردکردنِ سریعِ آن.,فوند آب مایه آب گوشت پایه استاک آب مرغ
spec_classical_sauces,classical-sauces,competency,spec_culinary_techniques,100,سس‌سازیِ کلاسیک,سس‌سازی,Classical sauce making,0,1,ساختنِ سس‌های پایه مثلِ بشامل و سسِ قهوه‌ای و سس‌هایی که از آن‌ها ساخته می‌شوند.,بشامل سس قارچ رو سس مادر دمی گلاس
spec_emulsified_sauces,emulsified-sauces,competency,spec_culinary_techniques,100,سس‌های امولسیونی,مایونز و سس‌های تخم‌مرغی,Emulsified sauces,0,1,ساختنِ سس‌هایی مثلِ مایونز و هلندز که روغن و آب را با تخم‌مرغ یا کره پایدار به هم می‌آمیزند.,مایونز هلندز سس سیر آیولی
spec_soup_making,soup-making,competency,spec_culinary_techniques,100,سوپ‌پزی,سوپ,Soup making,0,1,پختنِ سوپ‌های صاف، خامه‌ای و پوره‌ای با غلظت و مزهٔ یکسان در هر نوبت.,سوپ سوپ جو سوپ قارچ ولوته
spec_meat_butchery,meat-butchery,competency,spec_culinary_techniques,100,قصابی و بُرشِ گوشت,گوشت‌بُری,Meat butchery and portioning,0,1,جداکردنِ قطعه‌های لاشه، گرفتنِ پیه و عصب، و بُرشِ گوشت به اندازه‌های یکسان برای منو.,قصابی گوشت بری فیله راسته ماهیچه
spec_poultry_preparation,poultry-preparation,competency,spec_culinary_techniques,100,آماده‌سازیِ مرغ و پرنده,مرغ‌بُری,Poultry preparation,0,1,تمیزکردن، قطعه‌کردن، بی‌استخوان‌کردن و آماده‌کردنِ مرغ و بوقلمون برای پخت.,مرغ قطعه کردن مرغ فیله مرغ بوقلمون
spec_fish_and_seafood_preparation,fish-and-seafood-preparation,competency,spec_culinary_techniques,100,آماده‌سازیِ ماهی و غذاهای دریایی,ماهی پاک‌کردن,Fish and seafood preparation,0,1,تشخیصِ تازگی، فلس‌گیری، فیله‌کردن و پاک‌کردنِ ماهی، میگو و دیگر غذاهای دریایی.,ماهی میگو فیله ماهی فلس گیری صدف
spec_offal_preparation,offal-preparation,competency,spec_culinary_techniques,100,پاک‌کردن و آماده‌سازیِ جگر، دل، قلوه، کله و پاچه,دل و جگر,Offal preparation,0,1,شست‌وشو، موزدایی و پاک‌کردنِ دقیقِ اندام‌های خوراکی که زودتر از گوشت آلوده و خراب می‌شوند.,جگر دل و قلوه سیرابی شیردان کله پاچه دنبه
spec_classical_vegetable_cuts,classical-vegetable-cuts,competency,spec_culinary_techniques,100,بُرش‌های استانداردِ سبزی,خردکردنِ سبزی,Classical vegetable cuts,0,1,بُرشِ سبزی به شکل‌ها و اندازه‌های استاندارد مثلِ خلالی، مکعبِ ریز و حلقه، تا یکنواخت بپزد و زیبا باشد.,ژولین برونواز خلالی مکعبی خرد کردن
spec_greens_washing_disinfection,greens-washing-disinfection,competency,spec_culinary_techniques,100,شست‌وشو و ضدعفونیِ سبزی و میوه,سبزی شستن,Washing and disinfecting produce,0,1,پاک‌کردن، شستن و ضدعفونیِ سبزیِ خوردن و سالاد در چند مرحله و آبکشیِ کامل.,سبزی پاک کردن ضدعفونی سبزی سبزی خوردن انگل زدایی
spec_legume_and_grain_preparation,legume-and-grain-preparation,competency,spec_culinary_techniques,100,خیس‌کردن و پختِ حبوبات و غلات,حبوبات,Legume and grain preparation,0,1,پاک‌کردن، خیساندن و پختِ نخود، لوبیا، عدس، گندم و جو تا خوب بپزند و راحت هضم شوند.,حبوبات خیس کردن نخود لوبیا عدس
spec_tasting_and_seasoning,tasting-and-seasoning,competency,spec_culinary_techniques,100,چشیدن و تنظیمِ مزه,مزه‌کردن,Tasting and seasoning,0,1,چشیدنِ غذا با قاشقِ تمیز در مرحله‌های پخت و درست‌کردنِ نمک، ترشی، تندی و ادویه.,مزه کردن نمک ادویه طعم
spec_doneness_testing,doneness-testing,competency,spec_culinary_techniques,100,تشخیصِ پختِ کامل با دماسنج,دماسنجِ غذا,Doneness testing with probe thermometers,0,1,اندازه‌گرفتنِ دمای مغزِ غذا با دماسنجِ سوزنی و شناختنِ نشانه‌های پختِ کامل.,دماسنج مغز پخت مدیوم ول دان پخت کامل
spec_garnishing,garnishing,competency,spec_culinary_techniques,100,تزئینِ غذا,تزئین,Garnishing,0,1,افزودنِ جزئیاتِ خوراکیِ رنگی و متناسب به بشقاب یا دیس بی‌آنکه مزه یا ایمنیِ غذا به خطر بیفتد.,تزئین دیزاین غذا گارنیش
spec_fruit_and_vegetable_carving,fruit-and-vegetable-carving,competency,spec_culinary_techniques,100,میوه‌آرایی و حکاکی روی میوه و سبزی,میوه‌آرایی,Fruit and vegetable carving,0,1,تراشیدنِ میوه و سبزی به شکلِ گل و نقش برای دیس، بوفه و سفرهٔ مراسم.,میوه آرایی حکاکی میوه سفره آرایی
spec_batch_cooking,batch-cooking,competency,spec_culinary_techniques,100,پختِ حجمِ زیاد,پختِ زیاد,Large-batch cooking,0,1,پختنِ یک غذا برای ده‌ها یا صدها نفر با همان مزه و ایمنیِ پختِ کم.,پخت انبوه دیگ بزرگ نذری مجلسی
spec_recipe_scaling_and_yield,recipe-scaling-and-yield,competency,spec_culinary_techniques,100,بزرگ‌کردنِ دستور و محاسبهٔ بازده,حسابِ مواد,Recipe scaling and yield testing,0,1,ضرب و تقسیمِ مقدارِ مواد برای تعدادِ تازه و حسابِ اینکه از هر کیلو ماده پس از پاک‌کردن و پخت چند پُرس می‌ماند.,بازده افت گوشت ضریب دستور محاسبه مواد
spec_cook_chill,cook-chill,competency,spec_culinary_techniques,100,پخت و سردکردنِ سریع (کوک‌چیل و انجماد),پخت و سردکردن,Cook-chill and cook-freeze,0,1,پختنِ غذا، سردکردنِ سریع در بلاست‌چیلر، نگهداریِ سرد یا یخ‌زده و گرم‌کردنِ دوباره با ثبتِ زمان و دما.,کوک چیل بلاست چیلر غذای آماده سرد انجماد
spec_sous_vide_cooking,sous-vide-cooking,competency,spec_culinary_techniques,100,پختِ سووید,سووید,Sous-vide cooking,0,1,پختنِ غذا در کیسهٔ وکیوم‌شده درونِ آبی با دمای ثابت و دقیق، طبقِ جدولِ زمان و دما.,سووید سوس وید پخت در کیسه بن ماری دقیق
spec_vacuum_packing,vacuum-packing,competency,spec_food_processing,100,بسته‌بندیِ وکیوم,وکیوم,Vacuum packing,0,1,بسته‌بندیِ گوشت، ماهی و غذای آماده با دستگاهِ وکیوم، برچسب‌زدن و نگهداری در سرما.,وکیوم بسته بندی کیسه وکیوم
spec_hot_holding_and_reheating,hot-holding-and-reheating,competency,spec_food_safety,100,گرم‌نگه‌داشتن و گرم‌کردنِ دوباره,گرم نگه‌داشتن,Hot holding and reheating,0,1,نگه‌داشتنِ غذای پخته در بن‌ماری یا گرم‌خانه با دمای ایمن و گرم‌کردنِ دوبارهٔ کامل و سریع.,بن ماری گرمخانه گرم کردن غذا هات باکس
spec_special_diet_cooking,special-diet-cooking,competency,spec_nutrition_quality,100,پخت برای رژیم‌های خاص,غذای رژیمی,Cooking for special diets,0,1,پختنِ غذای کم‌نمک، کم‌چرب، دیابتی، بی‌گلوتن و دیگر رژیم‌ها طبقِ برگهٔ رژیم، بی‌آنکه مزه از دست برود.,رژیمی دیابتی کم نمک بدون گلوتن کتو
spec_texture_modified_food,texture-modified-food,competency,spec_nutrition_quality,100,غذای نرم و پوره برای مشکلِ بلع,غذای نرم,Texture-modified food for swallowing difficulties,0,1,آماده‌کردنِ غذا و نوشیدنی با غلظت و نرمیِ دقیق برای کسانی که بلعیدن برایشان دشوار یا خطرناک است.,پوره غذای نرم سوپ صاف بیمار سالمند
spec_vegetarian_cooking,vegetarian-cooking,competency,spec_culinary_techniques,100,پختِ غذای گیاهی,غذای گیاهی,Vegetarian and vegan cooking,0,1,پختنِ غذای سیر و کامل بدونِ گوشت (یا بدونِ هر مادهٔ حیوانی) با پروتئینِ کافی از حبوبات و غلات.,گیاهی وگان گیاه خوار بدون گوشت
spec_egg_cookery,egg-cookery,competency,spec_culinary_techniques,100,پختِ تخم‌مرغ,نیمرو و املت,Egg cookery,0,1,پختنِ نیمرو، املت، تخم‌مرغِ آب‌پز و پوشه با درجهٔ پختِ درست و ایمن.,نیمرو املت تخم مرغ صبحانه
spec_live_cooking_station,live-cooking-station,competency,spec_culinary_techniques,100,پخت در برابرِ مهمان,پخت جلوی مهمان,Live cooking station,0,1,پختنِ غذا جلوی چشمِ مهمان در بوفه یا مراسم، با پاسخ‌دادنِ مؤدبانه و رعایتِ ایمنی نزدیکِ مردم.,لایو استیشن پخت زنده ایستگاه املت شو کوکینگ
spec_salad_and_dressing,salad-and-dressing,competency,spec_culinary_techniques,100,سالاد و سس‌های سالاد,سالاد,Salads and dressings,0,1,آماده‌کردنِ سالادهای تازه و سس‌های آن و نگه‌داشتنِ سبزی ترد و خنک تا لحظهٔ سرو.,سالاد سالاد سزار سس سالاد وینگرت شیرازی
spec_garde_manger_cold_preparations,garde-manger-cold-preparations,competency,spec_culinary_techniques,100,غذاهای سرد، پیش‌غذا و کاناپه,غذای سرد,"Cold preparations (canapés, terrines, platters)",0,1,ساختنِ کاناپه، تِرین، دیس‌های سرد، ژله‌های خوش‌طعم و پیش‌غذاهای سرد برای منو و بوفه.,کاناپه فینگرفود دیس سرد ترین کلد کیچن
spec_curing_and_smoking,curing-and-smoking,competency,spec_culinary_techniques,100,عمل‌آوری و دودی‌کردن,دودی‌کردن,Curing and smoking,0,1,نگه‌داشتنِ گوشت و ماهی با نمک، ادویه و دود، و رعایتِ اندازهٔ دقیقِ نمک‌های عمل‌آوری.,دودی ماهی دودی بسطرمه نمک سود کالباس
spec_pickling_and_preserving,pickling-and-preserving,competency,spec_culinary_techniques,100,ترشی‌انداختن و نگهداری,ترشی,Pickling and preserving,0,1,ساختنِ ترشی، شور و مربای کم‌خطر با اسیدیته و نمکِ کافی و ظرفِ تمیز.,ترشی شور خیارشور لیته مربا
spec_pasta_and_noodle_making,pasta-and-noodle-making,competency,spec_culinary_techniques,100,پاستا و رشته,پاستا,Fresh pasta and noodles,0,1,ساختن، بُرش و پختنِ پاستای تازه و رشته و هماهنگ‌کردنِ آن با سس.,پاستا ماکارونی لازانیا نودل رشته
spec_pizza_making,pizza-making,competency,spec_culinary_techniques,100,پیتزاپزی,پیتزا,Pizza making,0,1,باز‌کردنِ خمیرِ پیتزا، چیدنِ مواد به اندازهٔ درست و پختن در فرِ پیتزا تا زیرش ترد و رویش یکنواخت شود.,پیتزا خمیر پیتزا ناپلی آمریکایی
spec_griddle_cooking,griddle-cooking,competency,spec_culinary_techniques,100,پخت روی صفحهٔ داغ (گریدل),صفحهٔ داغ,Griddle and flat-top cooking,0,1,پختنِ برگر، همبرگر، تخم‌مرغ، نان و سوسیس روی صفحهٔ فلزیِ داغ با منطقه‌های دمای متفاوت.,گریدل صفحه داغ فلت تاپ همبرگر
spec_sandwich_assembly,sandwich-assembly,competency,spec_culinary_techniques,100,ساندویچ‌سازی,ساندویچ,Sandwich and wrap assembly,0,1,چیدنِ سریع و یکسانِ نان، مواد و سس برای ساندویچ و رپ، طبقِ استانداردِ مجموعه.,ساندویچ رپ هات داگ اسنک لقمه
spec_qsr_standard_procedures,qsr-standard-procedures,competency,spec_culinary_techniques,100,کار با استانداردِ غذای سریع,روالِ فست‌فود,Quick-service procedures and holding times,0,1,کار طبقِ روالِ ثابتِ زنجیره‌های غذای سریع: ترتیبِ مونتاژ، زمان‌سنجِ پخت و حداکثرِ زمانِ نگهداریِ آماده.,فست فود روال زنجیره ای هولدینگ تایمر
spec_vertical_rotisserie_cooking,vertical-rotisserie-cooking,competency,spec_culinary_techniques,100,پختِ شاورما، دونر و مرغِ گردان,شاورما,Vertical rotisserie cooking,0,1,ساختنِ سیخِ عمودی یا چیدنِ مرغ در دستگاهِ گردان، پختِ یکنواخت و بُرشِ فقط لایهٔ پخته.,شاورما دونر گیروس مرغ گردان کباب ترکی
spec_falafel_making,falafel-making,competency,spec_culinary_techniques,100,فلافل‌سازی,فلافل,Falafel making,0,1,خیساندن و چرخ‌کردنِ نخود با سبزی و ادویه، قالب‌زدن و سرخ‌کردنِ فلافل تا بیرونش ترد و درونش پخته باشد.,فلافل نخود فلافل جنوبی
spec_filled_pastry_folding,filled-pastry-folding,competency,spec_culinary_techniques,100,پیچیدنِ سمبوسه و خوراکی‌های پُرشده,سمبوسه پیچیدن,Folding filled pastries,0,1,پُرکردن و پیچیدنِ سریع و محکمِ سمبوسه، پیراشکی و دیگر خمیرهای پُرشده تا در روغن باز نشوند.,سمبوسه پیراشکی اسپرینگ رول
spec_wok_cooking,wok-cooking,competency,spec_culinary_techniques,100,پخت در ووک,ووک,Wok cooking and stir-frying,0,1,پختِ بسیار سریعِ مواد خردشده در ووکِ داغ روی شعلهٔ قوی، با ترتیبِ درستِ ریختنِ مواد.,ووک استیر فرای نودل چینی
spec_sushi_making,sushi-making,competency,spec_culinary_techniques,100,سوشی‌سازی,سوشی,Sushi making,0,1,آماده‌کردنِ برنجِ ترش‌شدهٔ سوشی، بُرشِ ماهی و ساختنِ رول و نیگیری با بهداشتِ سخت.,سوشی ماکی نیگیری ساشیمی
spec_international_cuisines,international-cuisines,competency,spec_culinary_techniques,100,آشپزیِ ملل,غذای خارجی,International cuisines,0,1,شناختِ مواد، ادویه و روش‌های پختِ آشپزی‌های کشورهای دیگر و پختنِ غذاهای آن‌ها با مزهٔ اصیل.,فرنگی ایتالیایی مکزیکی عربی ترکی هندی
spec_cooked_food_transport,cooked-food-transport,competency,spec_logistics_delivery,100,جابه‌جاییِ غذای پخته,حملِ غذا,Transporting cooked food,0,1,بسته و حمل‌کردنِ غذای پخته در ظرف‌های گرم‌نگه‌دار یا سرد تا مقصد، با ثبتِ زمان و دما.,هات باکس حمل غذا ترابری غذا ظرف یونولیتی
spec_delivery_packaging,delivery-packaging,competency,spec_logistics_delivery,100,بسته‌بندیِ غذا برای ارسال,بسته‌بندیِ بیرون‌بر,Packaging food for delivery,0,1,انتخاب و بستنِ ظرفِ مناسبِ هر غذا تا گرم، ترد و بی‌نشت به مشتری برسد، با پلمب و برچسب.,بیرون بر بسته بندی پیک ظرف یکبار مصرف
spec_tray_line_assembly,tray-line-assembly,competency,spec_culinary_techniques,100,چیدنِ سینیِ غذا در خطِ توزیع,سینی‌چینی,Tray-line assembly,0,1,چیدنِ سریعِ سینیِ هر نفر طبقِ کارتِ غذا یا رژیمِ او در بیمارستان، هواپیما یا سازمان.,سینی چینی خط توزیع کارت رژیم ترِی
spec_remote_site_kitchen_logistics,remote-site-kitchen-logistics,competency,spec_purchasing_inventory,100,آشپزخانه در جای دور,آشپزی در اردو,Remote-site and field kitchen logistics,0,1,برنامه‌ریزیِ مواد، آب، سوخت و منو برای هفته‌ها در کشتی، اردوگاه، سکوی نفتی یا آشپزخانهٔ صحرایی.,اردوگاه کمپ آشپزخانه صحرایی سکو کشتی
spec_private_client_cooking,private-client-cooking,competency,spec_guest_service,100,آشپزی برای مشتریِ خصوصی,آشپزِ شخصی,Private client cooking,0,1,پختن در خانه یا ویلای مشتری، هماهنگ با سلیقه و رژیمِ خانواده، با رازداری و احترام به حریمِ خانه.,آشپز شخصی آشپز منزل مهمانی خانگی
spec_expediting_the_pass,expediting-the-pass,competency,spec_culinary_techniques,100,هماهنگیِ پاس و فراخوانِ سفارش,پاس,Expediting at the pass,0,1,خواندنِ سفارش برای ایستگاه‌ها، هم‌زمان‌کردنِ غذاهای یک میز و بازبینیِ آخرِ هر بشقاب پیش از رفتن به سالن.,پاس اکسپو فراخوان سفارش
spec_station_management,station-management,competency,spec_culinary_techniques,100,ادارهٔ ایستگاهِ کاری,ایستگاه,Running a kitchen station,0,1,آماده، مرتب و پُر نگه‌داشتنِ ایستگاه پیش و در طولِ سرویس و تحویلِ تمیزِ آن در پایان.,ایستگاه پارتی استیشن
spec_menu_development,menu-development,competency,spec_management_leadership,100,طراحیِ منو و دستورِ تازه,منو نوشتن,Menu and recipe development,0,1,طراحیِ غذاهای تازه و منوی متوازن با توجه به مشتری، فصل، هزینه و توانِ آشپزخانه.,منو طراحی منو غذای جدید آر اند دی
spec_standard_recipe_cards,standard-recipe-cards,competency,spec_culinary_techniques,100,نوشتنِ دستورِ استاندارد,دستورنویسی,Writing standard recipes,0,1,نوشتنِ دستورِ دقیق با مقدار، مراحل، دما، عکس و اندازهٔ پُرس تا هر کس بپزد نتیجه یکی شود.,رسپی دستور پخت کارت دستور استاندارد
spec_kitchen_ordering_par_levels,kitchen-ordering-par-levels,competency,spec_purchasing_inventory,100,سفارشِ مواد و حدِ موجودی,سفارشِ مواد,Kitchen ordering and par levels,0,1,حسابِ اینکه برای چند روزِ آینده از هر ماده چه اندازه لازم است و سفارش‌دادن تا نه کم بیاید نه خراب شود.,سفارش پار خرید آشپزخانه موجودی
spec_kitchen_production_planning,kitchen-production-planning,competency,spec_management_leadership,100,برنامه‌ریزیِ تولیدِ آشپزخانه,برنامهٔ پخت,Kitchen production planning,0,1,تبدیلِ تعدادِ سفارش‌ها و وعده‌ها به برنامهٔ روزانهٔ آماده‌سازی، پخت، نیرو و دستگاه.,برنامه تولید برنامه پخت پروداکشن
